id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;registro_fiscal;anios_freelance;lugar_trabajo;exporta;medio_pago_exterior;cuotas;colaboracion_freelance;servicio_busqueda;busqueda_it;trabajo_a_riesgo;coeficiente;base_coeficiente;garantia;servicio_principal;valor_hora
8;2021-10-22T11:10:48Z;Mujer cis;31 - 35;Universitario completo;Psicología;Universidad Pública;Argentina;Córdoba;Freelance;tengo un contrato mixto rel dependencia y  freelance;2;Casa;Si;Payoneer;No;Si;Si;Si;No;1900;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA
11;2021-10-22T11:16:09Z;Mujer cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;1;Oficina del cliente;No;No exporto servicios;No;No;No;NA;NA;NA;NA;NA;HR Generalista;1800
14;2021-10-22T11:19:00Z;Hombre cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Freelance;Contractor;0;Casa;Si;Payoneer;No;Si;Si;Si;No;0;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA
38;2021-10-22T16:09:50Z;Mujer cis;25 - 30;Diplomado de posgrado en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Freelance;Contractor;1;Casa;Si;Payoneer;No;No;Si;Si;No;1.5;Remuneración mensual del ingresante;3 meses;NA;NA
47;2021-10-22T17:01:53Z;Mujer cis;36 - 40;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Freelance;Monotributista;1;Casa;Si;Western Union;No;Si;Si;Si;Si;20;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA
52;2021-10-22T17:27:54Z;Hombre cis;31 - 35;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;1;Casa;Si;PayPal;Si, eventualmente;Si;Si;Si;Si;30;Remuneración mensual del ingresante;1 mes;NA;NA
74;2021-10-23T11:45:51Z;Hombre cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Estados Unidos;NA;Freelance;Monotributista;2;Casa;Si;Payoneer;No;No;Si;Si;Si;20;Remuneración mensual del ingresante;1 mes;NA;NA
75;2021-10-23T12:22:39Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Contractor;1;Casa;No;No exporti por ahora;Si, eventualmente;Si;No;NA;NA;NA;NA;NA;Start up del area de HR inpmentacion de politicas y procesos, busqueda y seleccion, asesoramiento en general del area;1800
113;2021-10-25T11:31:40Z;Hombre cis;31 - 35;Maestría completa;Abogacía;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;2;Casa;Si;Bitcoin;Si, eventualmente;Si;No;NA;NA;NA;NA;NA;People Analytics;2000
119;2021-10-25T12:18:04Z;Mujer cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Freelance;Monotributista;1;Casa;No;No exporto.;Si, eventualmente;Si;Si;Si;Si;1;Remuneración mensual del ingresante;1 mes;NA;NA
124;2021-10-25T13:35:44Z;Mujer cis;31 - 35;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Freelance;Monotributista;12;Casa;No;No exporto;No;Si;No;NA;NA;NA;NA;NA;Diseño organizacional;2999
149;2021-10-25T16:25:05Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;La Pampa;Freelance;Monotributista;3;Casa;No;no exporto;Si, eventualmente;Si;Si;No;Si;40;Remuneración mensual del ingresante;3 meses;NA;NA
158;2021-10-25T18:54:18Z;Hombre cis;25 - 30;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Freelance;Monotributista;2;Casa;Si;PayPal;Si, frecuentemente;Si;No;NA;NA;NA;NA;NA;Capacitación;1000
161;2021-10-25T19:18:47Z;Mujer cis;31 - 35;Universitario completo;Psicología;Universidad Pública;Argentina;Buenos Aires;Freelance;No estoy registrada por el momento;1;Casa;No;-;No;Si;Si;Si;Si;20;Remuneración mensual del ingresante;3 meses;NA;NA
167;2021-10-25T21:25:06Z;Hombre cis;51 - 55;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Freelance;Contractor;1;oficina;No;no;No;Si;Si;No;No;1;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA
177;2021-10-26T10:45:40Z;No binario;51 - 55;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Córdoba;Freelance;Responsable inscripto;22;Oficina propia;No;No exporto servicios;No;Si;No;NA;NA;NA;NA;NA;Diseño organizacional;5000
178;2021-10-26T12:59:17Z;Mujer cis;25 - 30;Universitario en curso;antropología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;1;Casa;Si;Payoneer;Si, eventualmente;Si;Si;Si;Si;100;Remuneración mensual del ingresante;3 meses;NA;NA
179;2021-10-26T15:25:52Z;Mujer cis;36 - 40;Universitario en curso;Trabajo Social;Universidad Pública;Argentina;Buenos Aires;Freelance;Monotributista;1;Casa;No;No exporto;Si, eventualmente;Si;Si;No;No;30;Remuneración mensual del ingresante;3 meses;NA;NA
181;2021-10-26T17:58:10Z;Mujer cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Freelance;Monotributista;1;Casa;No;Transferencia a tu cuenta;Si, eventualmente;Si;No;NA;NA;NA;NA;NA;Diseño organizacional;2500
186;2021-10-26T19:58:22Z;Hombre cis;41 - 45;Universitario completo;Sociología;Universidad Pública;Bolivia;NA;Freelance;Monotributista;3;Casa;No;Transferencia a tu cuenta;No;Si;Si;No;Si;5000;Remuneración mensual del ingresante;3 meses;NA;NA
195;2021-10-27T10:03:36Z;Hombre cis;46 - 50;Maestría completa;Administración de Empresas;Universidad Privada;Bolivia;NA;Freelance;Monotributista;4;Cowork;No;Transferencia a tu cuenta;Si, frecuentemente;Si;Si;No;Si;2;Remuneración mensual del ingresante;2 meses;NA;NA
196;2021-10-27T10:30:05Z;Mujer cis;36 - 40;Maestría completa;Psicología;Universidad Privada;Colombia;NA;Freelance;Contractor;3;Bares / Restaurants;Si;Transferencia a tu cuenta;No;Si;Si;Si;No;20;Remuneración anual del ingresante;2 meses;NA;NA
208;2021-10-27T18:14:21Z;Hombre cis;31 - 35;Universitario completo;Psicología;Universidad Pública;México;NA;Freelance;Responsable inscripto;4;Casa;Si;Transferencia a tu cuenta;Si, eventualmente;Si;Si;Si;Si;15000;Remuneración mensual del ingresante;1 mes;NA;NA
210;2021-10-27T18:26:46Z;Mujer cis;31 - 35;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;1;Casa;No;PayPal;No;Si;Si;No;Si;1;Remuneración mensual del ingresante;3 meses;NA;NA
228;2021-10-29T13:45:48Z;Hombre cis;31 - 35;Universitario completo;Administración de Empresas;Universidad Privada;Chile;NA;Freelance;Spa;3;Casa;No;Transferencia a tu cuenta;Si, eventualmente;Si;No;NA;NA;NA;NA;NA;Payroll / Liquidación de sueldos;8000
249;2021-10-29T20:59:18Z;Mujer cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Freelance;Monotributista;2;Casa;Si;Payoneer;Si, eventualmente;Si;Si;No;Si;1;Remuneración mensual del ingresante;2 meses;NA;NA
276;2021-10-30T00:08:19Z;Mujer cis;36 - 40;Universitario en curso;Psicología;Universidad Privada;Argentina;Buenos Aires;Freelance;Monotributista;1;Casa;No;Xxxx;No;No;No;NA;NA;NA;NA;NA;Payroll / Liquidación de sueldos;799
281;2021-10-30T01:47:49Z;Mujer cis;36 - 40;Terciario completo;RRHH / RRLL / RRTT;No estudié en la Universidad;Argentina;Buenos Aires;Freelance;Monotributista;2;Casa;No;Transferencia a tu cuenta;No;Si;Si;No;No;65;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA
305;2021-10-30T11:47:39Z;Mujer cis;46 - 50;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;7;Casa;Si;PayPal;Si, frecuentemente;Si;No;NA;NA;NA;NA;NA;Diseño organizacional;4500
306;2021-10-30T12:20:35Z;Hombre cis;25 - 30;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Freelance;Monotributista;1;Casa;Si;Transferencia a tu cuenta;Si, frecuentemente;Si;Si;Si;Si;52000;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA
332;2021-10-31T09:39:01Z;Mujer cis;41 - 45;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Entre Ríos;Freelance;Monotributista;3;Casa;No;Transferencia a tu cuenta;No;Si;Si;Si;Si;30;Remuneración mensual del ingresante;3 meses;NA;NA
336;2021-10-31T12:23:35Z;Mujer;25 - 30;Diplomado de posgrado completo;Psicología;Universidad Pública;Perú;NA;Freelance;Contractor;1;Casa;Si;Payoneer;No;Si;Si;Si;No;1900;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA
347;2021-10-31T21:53:00Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;7;Casa;No;N/A;No;No;Si;No;No;134640;Remuneración anual del ingresante;No ofrezco garantía;NA;NA
406;2021-11-03T10:18:18Z;Mujer cis;31 - 35;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Freelance;Contractor;2;Casa;No;Payoneer;No;Si;Si;Si;No;100;Remuneración mensual del ingresante;1 mes;NA;NA
407;2021-11-03T10:46:49Z;Mujer cis;41 - 45;Terciario abandonado;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Freelance;Responsable inscripto;1;Alquilo oficina (no cowork);No;PayPal;Si, eventualmente;No;Si;No;No;75;Remuneración mensual del ingresante;2 meses;NA;NA
409;2021-11-03T12:47:42Z;Mujer cis;36 - 40;Maestría completa;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;7;Casa;No;Payoneer;No;Si;Si;No;No;28;Remuneración anual del ingresante;3 meses;NA;NA
