id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;registro_fiscal;anios_freelance;que_te_motivo_a_trabajar_por_tu_cuenta;donde_trabajas_habitualmente;exporta;medio_pago_exterior;cuotas;colaboracion_freelance;servicio_busqueda;busqueda_it;entrevista_ingles;trabajas_a_riesgo;coeficiente;base_coeficiente;garantia;servicio_principal;negociacion;valor_hora
18;2022-10-07T17:42:12Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;1;Manejar mis horarios y mis ingresos, tener desafíos diferentes a los que uno gestiona en las empresas;Casa;Si;Payoneer;No;Si;Si;Si;Si, esporádicamente;Si;1;Remuneración mensual del ingresante;2 meses;NA;NA;NA
28;2022-10-09T17:32:54Z;Hombre cis;61 o más;Universitario completo;Análisis Sistemas;Universidad Privada;Argentina;Mendoza;Monotributista;23;Diseñar, comercializar y ejecutar mis servicios;Casa;No;No exporto servicios;Si, frecuentemente;No;No;NA;NA;NA;NA;NA;NA;Diseño organizacional;No;4500
43;2022-10-11T11:14:47Z;Mujer cis;41 - 45;Maestría o superior en curso;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;19;nunca me ofrecieron trabajar en relación de dependencia;Casa;No;no exporto;Si, eventualmente;Si;No;NA;NA;NA;NA;NA;NA;Capacitación;Si;8500
49;2022-10-11T11:42:53Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Monotributista;1;Mayor ingreso;En la misma empresa;No;No exporto servicios;No;No;No;NA;NA;NA;NA;NA;NA;Diseño organizacional;Depende el cliente;1583
66;2022-10-11T19:57:50Z;Mujer cis;41 - 45;Diplomado de posgrado en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Mendoza;Monotributista;0;Mejor salario y flexibilidad horaria;Casa;No;No exporto servicios;Si, eventualmente;Si;Si;No;No;No;50;Remuneración mensual del ingresante;3 meses;NA;NA;NA
80;2022-10-14T12:50:53Z;Mujer cis;51 - 55;Diplomado de posgrado completo;Ingeniería Industrial;Universidad Pública;Argentina;Buenos Aires;Monotributista;20;Libertad de horarios, poder elegir mis proyectos y desarrollo profesional sin techo;Casa;No;No exporto servicios;Si, frecuentemente;Si;No;NA;NA;NA;NA;NA;NA;Diseño organizacional;No;3000
93;2022-10-14T15:21:08Z;Mujer cis;18 - 25;Universitario en curso;Administración de Empresas;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Contractor;0;Oportunidades, contactos;Casa;Si;Payoneer;No;No;Si;Si;Si, habitualmente;Depende el cliente;5000;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA;NA
132;2022-10-15T01:18:36Z;Mujer cis;36 - 40;Universitario completo;Psicología;Universidad Pública;Argentina;Buenos Aires;Monotributista;1;El cuidado de mis hijos y estar mas presente;Casa;No;No exporto servicios;No;Si;Si;No;No;No;37;Remuneración mensual del ingresante;2 meses;NA;NA;NA
141;2022-10-15T14:24:39Z;Hombre cis;51 - 55;Maestría o superior completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;13;Elegir el propio camino con mi propia perspectiva y visión;Hibrido: casa y oficina clientes;Si;Cuenta en el exterior;Si, eventualmente;No;No;NA;NA;NA;NA;NA;NA;Transformación de negocios/Change Management;Depende el cliente;4500
149;2022-10-16T10:24:38Z;Mujer cis;31 - 35;Maestría o superior completa;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;1;Fundar mi consultora;Oficinas clientes y casa;No;No exporto servicios;No;Si;Si;No;No;No;1;Remuneración mensual del ingresante;3 meses;NA;NA;NA
150;2022-10-16T14:04:15Z;Hombre cis;25 - 30;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;5;La salida laboral de la profesión que estudiaba tiene mayor bancante bajo esta condición;Casa;Si;Payoneer;No;No;Si;No;No;No;15;Remuneración anual del ingresante;No ofrezco garantía;NA;NA;NA
159;2022-10-17T09:58:54Z;Mujer cis;36 - 40;Universitario completo;Comunicación Social Institucional;Universidad Pública;Argentina;Córdoba;Monotributista;3;Nada. Estoy trabajando en una empresa de software que no quiere poner a sus empleados en relacion de dependencia y los tiene como monotributista. Se aprovechan de la necesidad de la gente que necesita trabajar.;Casa;No;No exporto servicios;No;No;No;NA;NA;NA;NA;NA;NA;People Care, Clima y Cultura;Si;812
166;2022-10-17T11:03:35Z;Mujer cis;51 - 55;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Monotributista;3;Experiencia;Casa;No;No exporto servicios;Si, eventualmente;No;No;NA;NA;NA;NA;NA;NA;Educación;Si;3000
168;2022-10-17T11:35:28Z;Hombre cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Otro Europa;NA;Monotributista;1;Flexibilidad y posibilidad de trabajar en el exterior.;Cowork;Si;Payoneer;No;Si;Si;Si;Si, habitualmente;No;0;Remuneración anual del ingresante;No ofrezco garantía;NA;NA;NA
176;2022-10-17T16:53:03Z;Mujer cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Mendoza;Monotributista;1;Planificación familiar;Casa;No;No exporto servicios;Si, eventualmente;Si;Si;No;No;No;1;Remuneración mensual del ingresante;3 meses;NA;NA;NA
182;2022-10-17T20:25:04Z;Mujer cis;46 - 50;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;5;Disponer de mis tiempos y poder mechar mi trabajo en selección con mi trabajo con Coach y facilitadora de talleres;Casa;No;Transferencia a tu cuenta;Si, eventualmente;Si;Si;No;No;Depende el cliente;1;Remuneración mensual del ingresante;3 meses;NA;NA;NA
210;2022-10-19T16:50:10Z;Mujer cis;36 - 40;Diplomado de posgrado completo;comunicacion social;Universidad Privada;Argentina;Santa Fe;Responsable inscripto;9;la libertad de horarios, no tener que soportar jefes, hacer las cosas a mi manera;Casa;Si;Payoneer;No;Si;Si;Si;No;Depende el cliente;1.2;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA;NA
213;2022-10-19T21:23:40Z;Mujer;41 - 45;Diplomado de posgrado completo;Psicología;Universidad Privada;Paraguay;NA;Monotributista;3;Libertad;Casa;Si;Transferencia a tu cuenta;Si, eventualmente;Si;Si;No;Si, esporádicamente;Depende el cliente;1.2;Remuneración mensual del ingresante;1 mes;NA;NA;NA
225;2022-10-20T13:16:38Z;Mujer cis;46 - 50;Maestría o superior completa;Psicología;Universidad Pública;Argentina;Buenos Aires;Monotributista;20;La inscripción al mono tributo inicial fue por el formato propuesto por mi empleador. Luego, la decisión de emprender independiente, post maternidad, manejo de horarios , presencia en crianza, multiplicidad de desafíos, 0 rutina;Casa;No;No exporto servicios;Si, frecuentemente;Si;No;NA;NA;NA;NA;NA;NA;Capacitación;Si;10000
233;2022-10-21T11:43:06Z;Mujer cis;36 - 40;Maestría o superior completa;Educación;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;2;Trabajo como contractor para una empresa afuera. También hago un poco de freelance.;Casa;Si;Payoneer;No;Si;Si;Si;Si, habitualmente;No;1500;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA;NA
240;2022-10-22T09:35:42Z;Mujer cis;36 - 40;Universitario completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;2;Me harte de empresas poco comprometidas con retener el talento que tanto cuesta contratar.;Casa;Si;Transferencia a tu cuenta;No;No;Si;Si;Si, habitualmente;No;1.5;Remuneración mensual del ingresante;2 meses;NA;NA;NA
241;2022-10-22T10:14:09Z;Mujer cis;46 - 50;Maestría o superior completa;Psicología;Universidad Pública;Argentina;Buenos Aires;Monotributista;20;1) eran las condiciones de contratación que proponía mi empleador 2) maternidad. manejo de horarios. presencia en crianza, cuidado.;Casa;No;No exporto servicios;Si, frecuentemente;Si;No;NA;NA;NA;NA;NA;NA;Capacitación;Si;10000
248;2022-10-24T15:00:23Z;Hombre cis;46 - 50;Maestría o superior completa;Ingeniería Industrial;Universidad Pública;Perú;NA;Monotributista;1.5;Renuncia voluntaria por motivos familiares;Casa;No;No exporto servicios;Si, eventualmente;Si;No;NA;NA;NA;NA;NA;NA;Diseño organizacional;Si;65
269;2022-10-25T20:52:14Z;Hombre cis;31 - 35;Universitario completo;RRTT + Abogado UBA;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Asociado a cooperativa de trabajo;11;La obsolesencia de la Relación de dependencia;Estudio juridico propio;No;No exporto servicios;Si, eventualmente;Si;No;NA;NA;NA;NA;NA;NA;Asesoría legal;No;6000
270;2022-10-25T21:19:22Z;Mujer cis;31 - 35;Universitario completo;Psicología;Universidad Pública;Argentina;Córdoba;Monotributista;0;Mejor paga que en relación de dependencia;Casa;Si;Deel;Si, eventualmente;Si;Si;Si;Si, habitualmente;No;40;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA;NA
275;2022-10-26T17:21:21Z;Mujer cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;0;NA;Casa;No;No exporto servicios;No;Si;Si;Si;No;No;1;Remuneración mensual del ingresante;1 mes;NA;NA;NA
283;2022-10-27T10:32:01Z;Mujer cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Salta;Monotributista;3;La rapidez para conseguir trabajo.;Casa;No;No exporto servicios;No;No;Si;Si;No;Si;25;Remuneración mensual del ingresante;3 meses;NA;NA;NA
286;2022-10-27T14:42:04Z;Mujer cis;25 - 30;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Contractor;0;Condiciones Laborales;Casa;No;dinero en mano;No;Si;Si;Si;No;No;10;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA;NA
287;2022-10-27T15:02:54Z;Mujer cis;31 - 35;Universitario completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Contractor;1.6;El salario;Casa;Si;Payoneer;No;Si;Si;Si;Si, habitualmente;No;4000;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA;NA
295;2022-10-31T10:31:40Z;Mujer cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Contractor;11;NA;Casa;Si;Wise;No;Si;No;NA;NA;NA;NA;NA;NA;Generalista;No;4800
299;2022-11-03T09:48:22Z;Mujer cis;41 - 45;Universitario completo;Psicología;Universidad Privada;Chile;NA;Monotributista;2;Independencia, libertad, trabajar en lo que me gusta;Casa;Si;PayPal;No;Si;No;NA;NA;NA;NA;NA;NA;Capacitación;Depende el cliente;100000
308;2022-11-04T10:11:57Z;Mujer cis;36 - 40;Universitario abandonado;Trabajo Social;Universidad Pública;Argentina;Buenos Aires;Monotributista;2;Mayor libertad, autonomía, manejo de horarios y equilibrio entre vida personal y profesional. Puedo elegir en qué proyectos o desafíos me involucro;Casa;No;No exporto servicios;Si, frecuentemente;Si;Si;No;No;Depende el cliente;40;Remuneración mensual del ingresante;3 meses;NA;NA;NA
319;2022-11-07T13:58:10Z;Mujer cis;36 - 40;Maestría o superior completa;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Monotributista;0;Flexibilidad de horarios;Casa;No;No exporto servicios;Si, eventualmente;No;Si;No;Si, esporádicamente;Si;50;Remuneración mensual del ingresante;2 meses;NA;NA;NA
321;2022-11-07T21:13:36Z;Mujer cis;18 - 25;Universitario abandonado;Psicología;Universidad Pública;Argentina;Santa Fe;Monotributista;2;libertad;Casa;Si;criptos estables;No;Si;No;NA;NA;NA;NA;NA;NA;CPO;No;3000
