id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;registro_fiscal;anios_freelance;motivo;lugar_trabajo;exporta;medio_pago_exterior;cuotas;colaboracion_freelance;servicio_busqueda;busqueda_it;entrevista_ingles;riesgo;ingresos_fijo_variable;coeficiente;base_coeficiente;garantia;busqueda_tiempo;busqueda_barrera;requisitos_raros;servicio_principal;modalidad_servicios;negociacion;valor_hora
10;2023-10-02T09:25:37Z;Mujer cis;18 - 25;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;0;Estoy trabajando contratada por una empresa, pero en modalidad contractor ganando una remuneracion dolarizada. Pero estoy como monotributista a nivel fiscal.;Hibrido: casa y cowork;Si;Payoneer;No;No;Si;Si;No;No;Fijos;0;Remuneración mensual del ingresante;No ofrezco garantía;40;Remuneración ofrecida por el cliente;NA;NA;NA;NA;NA
19;2023-10-02T11:48:54Z;Mujer cis;36 - 40;Maestría o superior completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Monotributista;14;Un poco casualidad y la libertad de manejar mis tiempos;Oficinas de clientes;No;No exporto servicios;No;Si;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Diseño organizacional;Mix;Si;9200
25;2023-10-02T14:13:45Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Psicología;Universidad Privada;Argentina;Buenos Aires;Monotributista;2;Libertad en mis horarios y lugar de residencia, ser mi propio jefe;Casa;Si;Payoneer;No;Si;Si;Si;Si, esporádicamente;Depende el cliente;Variables;500000;Remuneración mensual del ingresante;3 meses;25;Remuneración ofrecida por el cliente, Beneficios poco atractivos de la empresa;Por ahora nada;NA;NA;NA;NA
35;2023-10-02T17:42:49Z;Mujer cis;41 - 45;Maestría o superior en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Córdoba;Monotributista;10;buscar estar mas en casa a raiz de tener una hija;Casa;No;No exporto servicios;Si, eventualmente;No;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Capacitación;Mix;No;11000
39;2023-10-03T00:04:26Z;Mujer cis;31 - 35;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Responsable inscripto;4;Los ingresos, la flexibilidad y el trabajo remoto.;Cowork;No;No exporto servicios;No;Si;Si;No;No;Depende el cliente;Variables;100;Remuneración mensual del ingresante;3 meses;15;Remuneración ofrecida por el cliente, Modalidad de trabajo presencial, Demora en la contratación por parte del cliente;No recuerdo;NA;NA;NA;NA
42;2023-10-03T08:45:10Z;Mujer cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Monotributista;6;Equilibrio vida personal y laboral;Casa;No;No exporto servicios;No;Si;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Capacitación;Mix;Si;15000
54;2023-10-04T00:07:26Z;Mujer cis;36 - 40;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Monotributista;3;NA;Casa;No;No exporto servicios;No;No;Si;Si;No;No;Fijos;2;Remuneración mensual del ingresante;3 meses;90;Remuneración ofrecida por el cliente, Candidato/a exigiendo sueldo en dólares (total o parcial), Demora en la contratación por parte del cliente;NA;NA;NA;NA;NA
55;2023-10-04T10:50:01Z;Mujer cis;36 - 40;Universitario completo;Ingeniería en Informática;Universidad Privada;Argentina;Buenos Aires;Contractor;5;Fui mamá, había renunciado a mi trabajo fulltime, y pude comenzar a trabajar menos horas, hoy en día tengo una jornada completa.;Casa;Si;Bitwage  y lo vinculo con mis wallets de Crypto;No;Si;Si;Si;Si, habitualmente;No;Fijos;0.25;Remuneración mensual del ingresante;3 meses;45;Beneficios poco atractivos de la empresa, Demora en la contratación por parte del cliente;cobrar los fines de semana sin trabajarlos;NA;NA;NA;NA
76;2023-10-09T09:26:02Z;Hombre cis;36 - 40;Maestría o superior en curso;Contador Público;Universidad Privada;Argentina;Neuquén;Monotributista;1;NA;Casa;No;No exporto servicios;No;No;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Counseling;Mix;Si;15000
97;2023-10-09T14:19:15Z;Mujer cis;26 - 30;Universitario completo;Psicología;Universidad Privada;Argentina;Mendoza;Monotributista;3;Fue pada iniciarme en el área. Pude hacerlo prestando servicios aunque me interesa el trabajo en relación de dependencia.;Casa (hard, todo lo que pueda hacer con la compu) y en mi oficina (soft como las entrevistas, psciotécnicos). Separo los días y horarios;No;No exporto servicios;Si, eventualmente;Si;Si;No;Si, esporádicamente;No;Variables;2000;Remuneración mensual del ingresante;3 meses;20;Demora en la contratación por parte del cliente;Ninguno hasta ahora.;NA;NA;NA;NA
98;2023-10-09T14:19:43Z;Mujer cis;31 - 35;Universitario completo;Psicología;Universidad Privada;Perú;NA;Monotributista;3;Horarios;Casa;Si;Wise;No;No;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Capacitación;Remota;Depende el cliente;70
102;2023-10-09T16:38:16Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Comunicación Social;Universidad Privada;Argentina;Santa Fe;Responsable inscripto;10;La libertad del tiempo, la flexibilidad, elegir qué hacer, cómo hacerlo y la posibilidad de ganar de acuerdo a mi esfuerzo.;Cowork;Si;Payoneer;No;Si;Si;Si;No;Si;Variables;1.5;Remuneración mensual del ingresante;No ofrezco garantía;30;Remuneración ofrecida por el cliente, Candidato/a exigiendo sueldo en dólares (total o parcial), Demora en la contratación por parte del cliente;que no viviera en pareja ni tuviera hijos sin estar casados (empresa del opus, año 2008);NA;NA;NA;NA
105;2023-10-09T19:45:58Z;Mujer cis;55 - 60;Universitario abandonado;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;4;Trabajé en una consultora por más de dos años, con contrato de exclusividad,  donde el básico no llegaba ni al salario mínimo, nos pedían estar disponibles más de 9 hs diarias, sin beneficios, pagando nuestro propio monotributo y teniendo que pedir permiso para salir hasta al médico: socios en las pérdidas y empleados en las ganancias (clientes medio pelo a quienes no se les ponía límites, además). Ahora tampoco tengo dinero, pero volví a ser la dueña de mi tiempo y me siento muy feliz.;Casa;Si;Cuenta en el exterior;No;Si;Si;Si;Si, esporádicamente;Si;Variables;30;Remuneración mensual del ingresante;3 meses;30;Remuneración ofrecida por el cliente, Candidato/a exigiendo sueldo en dólares (total o parcial), Demora en la contratación por parte del cliente;Tener la entrevista sábado a la noche porque no tenía tiempo en la semana, y cuando le enviaron el challenge dejó de responder por siempre jamás.;NA;NA;NA;NA
106;2023-10-10T02:03:05Z;Mujer cis;46 - 50;Diplomado de posgrado completo;Psicología;Universidad Privada;Argentina;Buenos Aires;Responsable inscripto;7;Balance y mejor calidad de vida;Casa;No;No exporto servicios;No;Si;Si;No;No;Depende el cliente;Variables;1.3;Remuneración mensual del ingresante;3 meses;45;Candidato/a exigiendo sueldo en dólares (total o parcial), Modalidad de trabajo presencial, Beneficios poco atractivos de la empresa;Trabajar solo 6 meses y tener 6 de vacaciones;NA;NA;NA;NA
109;2023-10-10T10:11:44Z;Mujer cis;41 - 45;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Chubut;Monotributista;9;familia/ organizacion;Casa;No;No exporto servicios;No;No;Si;No;No;Depende el cliente;Fijos;1.4;Remuneración mensual del ingresante;2 meses;28;Remuneración ofrecida por el cliente, Exigencia de trabajo remoto por parte del postulante, Demora en la contratación por parte del cliente;una parte del sueldo en dolares;NA;NA;NA;NA
119;2023-10-12T16:40:39Z;Mujer cis;36 - 40;Universitario abandonado;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Mi empresa esta registrada afuera de Arg;3;harta de que mi rol no tuviera lugar en la estrategia, y el machismo de mis jefes;Casa;Si;Cuenta en el exterior;No;Si;Si;Si;Si, habitualmente;Depende el cliente;Variables;1.5;Remuneración mensual del ingresante;2 meses;45;Candidato/a exigiendo sueldo en dólares (total o parcial), Exigencia de trabajo remoto por parte del postulante, Procesos letárgicos, los clientes se mueven a su ritmo, poca posibilidad de maniobra ante la cancelacion de un rol;este me paso hace poco y lo festeje como si fuera un gol de Julian Alvarez, escuchen: que si HR reporta a Finanzas el no queria ser parte de esa organizacion, para el (un dev MEGA senior de esos que no abundan) HR tiene que reportar al liderazgo ejecutivo e idealmente tener un seat ahi, me cai de la emocion, faith in software engineers restored;NA;NA;NA;NA
133;2023-10-18T08:59:58Z;Mujer cis;18 - 25;Universitario completo;Psicología;Universidad Pública;Argentina;Buenos Aires;Monotributista;2;no encontre otra cosa que fuera todo remoto;Casa;No;No exporto servicios;No;Si;Si;No;No;No;Fijos;200000;Remuneración mensual del ingresante;6 meses;30;Modalidad de trabajo presencial, Demora en la contratación por parte del cliente;Cobrar sin trabajar (busco acopañantes terapéuticos);NA;NA;NA;NA
158;2023-10-19T19:24:16Z;Hombre cis;31 - 35;Universitario abandonado;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Monotributista;3;Autonomía.;Casa;No;No exporto servicios;No;No;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Payroll / Liquidación de sueldos;Remota;No;NA
163;2023-10-19T19:30:52Z;Mujer cis;26 - 30;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Misiones;Monotributista;2;El exceso de carga horaria, el maltrato laboral, las irregularidades contractuales y el bajo sueldo.;Casa;No;No exporto servicios;No;Si;Si;No;No;Si;Variables;0.2;Remuneración mensual del ingresante;3 meses;20;Remuneración ofrecida por el cliente, Beneficios poco atractivos de la empresa, Demora en la contratación por parte del cliente;NA;NA;NA;NA;NA
164;2023-10-19T19:31:55Z;Hombre cis;31 - 35;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Monotributista;1;Contractor en usd y trabajo remoto;Casa;Si;Wise;No;Si;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Diseño organizacional;Remota;No;22000
175;2023-10-19T20:29:49Z;Mujer cis;36 - 40;Universitario abandonado;Trabajo Social;Universidad Pública;Argentina;Buenos Aires;Monotributista;3;Manejo de mis tiempos y posibilidad de trabajar en proyectos diversos;Casa;No;No exporto servicios;Si, eventualmente;Si;Si;No;No;Depende el cliente;Variables;40;Remuneración mensual del ingresante;3 meses;30;Remuneración ofrecida por el cliente, Modalidad de trabajo presencial, Demora en la contratación por parte del cliente;NA;NA;NA;NA;NA
