id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;jornada;funcion;personas_a_cargo;anios_empresa;anios_puesto;anios_rh;sueldo_bruto;beneficios;bono;bono_frecuencia;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;partidos_oficina;agenda;idioma_exigencia;idioma_porcentaje;satisfaccion;busqueda;desarrollo;anecdota;influencia_rh;colegio;colegio_fundamento;comunidad;comunidades;tarea_odiosa;diversidad_sexual;discapacidad;libertad_ser;diversidad_management;contrata_senior;contrata_discapacidad;lenguaje_inclusivo;linea_segura;sufrio_acoso;machismo;modalidad;dias_teletrabajo;satisfaccion_retorno;estres;comparacion;motivo;registro_fiscal;anios_freelance;que_te_motivo_a_trabajar_por_tu_cuenta;donde_trabajas_habitualmente;exporta;medio_pago_exterior;cuotas;colaboracion_freelance;servicio_busqueda;busqueda_it;entrevista_ingles;trabajas_a_riesgo;coeficiente;base_coeficiente;garantia;servicio_principal;negociacion;valor_hora
1;2022-10-07T09:46:07Z;Mujer cis;25 - 30;Maestría o superior en curso;Economía;Universidad Privada;Ecuador;NA;Relación de Dependencia;Bancos, banca online;1.001 - 2.500;Multinacional;;HRBP;Indeterminado;Full time;People analytics;0;;2;;2000;Comedor / Almuerzos, Seguro de vida (adicionales a los de ley);No recibo bono;No recibo bono;No tuve ajustes;;NA;Si, en proyectos ad honorem;No;No está permitido;Si;0.5;4;No,  pero escucho ofertas;3;NA;Si, tiene un rol importante real;No;NA;Si;;Organizar la fiesta/regalos de fin de año;No;Auditiva;Totalmente de acuerdo;0.3;Si;Si;Ni de acuerdo ni en desacuerdo;No;No;Si pero no es tanto;Presencial 100%;No aplica;Algo satisfecho;5;Con menos estrés;Cumplir metas en el tiempo acordado;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
2;2022-10-07T11:33:52Z;Mujer cis;41 - 45;Maestría o superior completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;101 - 250;Nacional;;Director;Indeterminado;Full time;Generalista;2;;0;;535;Medicina prepaga / Plan de salud, Tarjeta de descuento, Abono de celular, Equipamiento ergonómico de teletrabajo, Home office, Idiomas;Dos sueldos;Anual;2 ajustes;;Septiembre;Si, en emprendimiento no relacionado con RRHH;Sí;Sí, formalmente está avalado por la empresa;No;0;4;No estoy buscando cambiar;4;NA;Si, tiene un rol importante real;No se;NA;Si;;Archivar;No;No tengo ninguna discapacidad;Ni de acuerdo ni en desacuerdo;0.3;No;No;Ni de acuerdo ni en desacuerdo;No;No;Si pero no es tanto;Mixto;2 días;Muy insatisfecho;9;Con más estrés;Volumen;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
3;2022-10-07T12:13:02Z;Hombre cis;18 - 25;Diplomado de posgrado completo;Administración de Empresas;Universidad Privada;Perú;NA;Relación de Dependencia;Transporte (incluyendo aviación civil, ferrocarriles por carretera);1 - 50;Nacional;;Analista;Eventual;Full time;Reclutamiento y selección;0;;0;;1500;Horarios flexibles, Comedor / Almuerzos, Home office, Préstamos, Seguro de vida (adicionales a los de ley);Un sueldo;Semestral;No tuve ajustes;;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
4;2022-10-07T12:17:57Z;Hombre cis;36 - 40;Maestría o superior completa;Psicología;Universidad Pública;Bolivia;NA;Relación de Dependencia;Comercio;51 - 100;Multinacional;;Jefe;Indeterminado;Full time;Generalista;0;;0;;19196;Home office, Idiomas, Productos de la empresa uno al mes gratis + descuento 40% en los demás;Un sueldo;Anual;No tuve ajustes;;Enero;No;Sí;Nuestra selección nunca clasifica al Mundial jajaja;No;0;5;No estoy buscando cambiar;3;NA;Si, tiene un rol importante real;No se;Dudo que un colegio tendría algún impacto;No;;Trámites presenciales en organismos públicos;No;No tengo ninguna discapacidad;De acuerdo;0.2;No;No;En desacuerdo;Si;No;Si pero no es tanto;Mixto;1 día;Muy satisfecho;4;Mismo nivel de estrés;Algunas discrepancias con mi jefa acerca de cómo deben enfocarse ciertos procesos de mi área;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
5;2022-10-07T12:24:23Z;Hombre cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Agricultura, plantaciones, otros sectores rurales;501 - 1.000;Nacional;;Responsable;Indeterminado;Full time;Gestión RRHH;4;;3;;195000;Horarios flexibles, Charter / Servicio de transporte, Posgrados, Préstamos;Variable en función de los resultados de compañía;Anual;3 o más ajustes;;Septiembre;No;Sí;Sí, formalmente está avalado por la empresa;No;0.1;4;No,  pero escucho ofertas;5;NA;Si, tiene un rol importante real;Si;Actualmente muchas personas con o si formación profesional, de otras ramas se interesan en la gestión del capital humano sin contar con los conocimientos necesarios.;Si;;Archivar;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.2;No;No;En desacuerdo;Si;No;No es un entorno machista;Presencial 100%;No aplica;Muy satisfecho;5;No me siento estresada o estresado;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
6;2022-10-07T12:27:06Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;101 - 250;Multinacional;;HRBP;Indeterminado;Full time;Generalista;0;;1;;354000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Abono de internet, Comedor / Almuerzos, Frutas y snacks, Guadería, Gimnasio, Home office;No recibo bono;No recibo bono;2 ajustes;;Julio;No;No;Sí, formalmente está avalado por la empresa;Si;0.2;4;No estoy buscando cambiar;3;NA;Se dice que sí, pero en la práctica no tiene un rol importante;Si;NA;Si;;Archivar;No;No tengo ninguna discapacidad;De acuerdo;0.4;Si;No;Ni de acuerdo ni en desacuerdo;No;Si;Si pero no es tanto;NA;2 días;Algo insatisfecho;10;Mismo nivel de estrés;Multiplicidad de tareas;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
7;2022-10-07T12:29:29Z;Mujer cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;2.501 - 5.000;Nacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;;0;;175000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Licencias extendidas, Guadería, Home office, Reintegros en capacitación;No recibo bono;No recibo bono;1 solo;;Julio;Si, en proyectos ad honorem;Sí;No me interesa;No;0;3;No,  pero escucho ofertas;3;Ninguna;Se dice que sí, pero en la práctica no tiene un rol importante;Si;Un lugar que nos represente a los que estudiamos las carreras base, aunque hoy hay diversidad de carreras que trabajan en el área.;Si;;Hacer cosas que no aportan;No;No tengo ninguna discapacidad;Ni de acuerdo ni en desacuerdo;0.6;Si;No;Ni de acuerdo ni en desacuerdo;Si;No;Si pero no es tanto;En evaluación;4 días;Muy insatisfecho;6;Con menos estrés;Malos líderes. Lo bueno es que este año cambié de lider pero sigo colaborando en proyectos con el otro y es agobiante.;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
8;2022-10-07T12:32:19Z;Mujer cis;25 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;HRIS / Administración de sistemas de RH;0;;1;;200000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Licencias extendidas, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Guadería, Gimnasio, Home office, Idiomas, Posgrados, Seguro de vida (adicionales a los de ley), Reintegro en electricidad, Reintegros en capacitación, Spotify / Netflix / Servicios de Streaming;Menos de un sueldo;Semestral;3 o más ajustes;;Agosto;Si, en emprendimiento no relacionado con RRHH;Trabajo full remoto;No sé;Si;0.8;4;No,  pero escucho ofertas;3;NA;Se dice que sí, pero en la práctica no tiene un rol importante;No se;NA;No;;Trámites presenciales en organismos públicos;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.5;No se;Si;De acuerdo;Si;No;No es un entorno machista;Remoto 100%;5 días;Algo insatisfecho;4;Con menos estrés;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
9;2022-10-07T12:40:17Z;Mujer cis;31 - 35;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación, bebidas;5.001 - 10.000;Multinacional;;Gerente;Indeterminado;Full time;Generalista + RRLL;4;;0;;600;Medicina prepaga / Plan de salud, Tarjeta de descuento, Vacaciones extendidas, Licencias extendidas, Abono de celular, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Guadería, Gimnasio, Idiomas, Posgrados, Préstamos, Seguro de vida (adicionales a los de ley);Tres sueldos o más;Anual;3 o más ajustes;;Septiembre;No;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0.3;4;No,  pero escucho ofertas;4;Cuando estuve como especialista de selección fue muy gracioso!;Si, tiene un rol importante real;Si;NA;Si;;Trámites presenciales en organismos públicos;No;No tengo ninguna discapacidad;De acuerdo;0.6;Si;Si;Ni de acuerdo ni en desacuerdo;Si;No. Pero si muchos comentarios marchistas durante mi carrera. No ahora.;No es un entorno machista;Presencial 100%;1 día;Algo satisfecho;7;Con más estrés;Responsabilidad y desafío actual de mi rol;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
10;2022-10-07T12:42:27Z;Hombre cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Industrias químicas;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;People analytics;0;;1;;360000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Idiomas, Posgrados, Seguro de vida (adicionales a los de ley);Variable en función de los resultados de compañía;Anual;2 ajustes;;Octubre;No;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;Si;1;5;No estoy buscando cambiar;4;Un empleado faltó sin aviso y cuando hablo con él para preguntarle por qué había faltado me contó que cuando baja del tren pasa por un kiosco y siempre saluda desde la puerta a la kioskera y ella le devolvía el saludo. Un día vió a la chica que estaba con el novio y faltó al trabajo porque tenía el corazón roto. QUE VUELVAN LOS LENTOS!;Si, tiene un rol importante real;No;Porque no creo que aporte nada, y sólo va a servir para que se armen kioscos como los del Colegio de Económicas y de Derecho;Si;;Archivar;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.4;Si;No se;De acuerdo;Si;Si;No es un entorno machista;Mixto;4 días;Muy satisfecho;8;Con menos estrés;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
