id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;jornada;funcion;personas_a_cargo;anios_empresa;anios_puesto;anios_rh;sueldo_bruto;modalidad;beneficios;bono;ajuste;ajuste_porcentaje;idioma_exigencia;idioma_situaciones;recomendacion;busqueda;comunidad;comunidades;consejo_empleados;diversidad_sexual;discapacidad;diversidad_management;contrata_senior;contrata_discapacidad;sufrio_acoso;machismo;procesos_erp;tienen_pa;herramientas_analisis;prioridad_pa;usa_genai;genai_casos;capacitacion_pa;registro_fiscal;anios_freelance;motivo;lugar_trabajo;exporta;medio_pago_exterior;cuotas;colaboracion_freelance;servicio_busqueda;busqueda_it;entrevista_ingles;riesgo;ingresos_fijo_variable;coeficiente;base_coeficiente;garantia;busqueda_tiempo;busqueda_barrera;requisitos_raros;servicio_principal;modalidad_servicios;negociacion;valor_hora
1;2023-09-30T14:51:13Z;Mujer cis;36 - 40;Terciario completo;Profesorado idioma;No estudié en la Universidad;Argentina;Buenos Aires;Relación de Dependencia;Industria metalúrgica, metalmecánica;1 - 50;Nacional;;Responsable;Indeterminado;Full time;Administración de personal;0;18;3;;400000;Presencial 100%;No tengo beneficios adicionales;No recibo bono;3 o más ajustes;;No;Emails;3;No estoy buscando cambiar;No;NA;NA;No;No tengo ninguna discapacidad;0.2;No;No;No;Si pero no es tanto;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
2;2023-10-01T17:18:42Z;Mujer cis;41 - 45;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;501 - 1.000;Nacional;;Jefe;Indeterminado;Full time;Capacitación y desarrollo;3;20;3;;1500000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Comedor / Almuerzos, Home office;Variable en función de los resultados de compañía;3 o más ajustes;;No;Emails;3;No,  pero escucho ofertas;Si;NA;NA;No;No tengo ninguna discapacidad;0.3;Si;No;No;Si pero no es tanto;Nómina, Sueldos;No;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.), Excel;Se mantuvo estable;No las usé nunca;NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.), Inteligencia Artificial;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
3;2023-10-01T17:29:13Z;Mujer cis;36 - 40;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Petróleo y producción de gas, refinación de petróleo;51 - 100;Nacional;;Jefe;Indeterminado;Full time;Generalista;5;1;5;;1700000;Presencial 100%;Medicina prepaga / Plan de salud;No recibo bono;3 o más ajustes;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
4;2023-10-01T17:35:14Z;Hombre cis;36 - 40;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Otros;101 - 250;Nacional;;Analista;Indeterminado;Full time;Generalista;0;2;2;;590400;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Licencias extendidas, Abono de celular, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Préstamos;No recibo bono;3 o más ajustes;;No;NA;2;No estoy buscando cambiar;No;NA;NA;No;No tengo ninguna discapacidad;0.2;No;No;No;Si pero no es tanto;No tenemos sistema de gestión;No;Excel;Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
5;2023-10-01T17:39:51Z;Mujer cis;26 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios públicos (agua, gas, electricidad);101 - 250;Nacional;;Analista;Indeterminado;Full time;Generalista;0;0;0;;581080;Híbrido/Mixto;Home office;No recibo bono;1 solo;;No;NA;2;No,  pero escucho ofertas;No;NA;Que desarrolle la tolerancia a la frustración;No;No tengo ninguna discapacidad;0.2;Si;No;No;Si, es muy machista;Sueldos;No;Excel;No sé;No las usé nunca;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
6;2023-10-01T18:30:14Z;Hombre cis;18 - 25;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Industrias químicas;501 - 1.000;Nacional;;Pasante;Pasante;Part time;Generalista;0;0;0;;187000;Presencial 100%;Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Charter / Servicio de transporte, Home office, Préstamos;No recibo bono;3 o más ajustes;;No;Entrevistas;4;No,  pero escucho ofertas;Si;SalesEra;Que lo haga con pasión;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
7;2023-10-01T20:34:23Z;Mujer cis;26 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Comercio;51 - 100;Nacional;;Responsable;Indeterminado;Full time;Generalista;0;0;0;;530000;Presencial 100%;Medicina prepaga / Plan de salud, Frutas y snacks;No recibo bono;3 o más ajustes;;No;NA;3;No,  pero escucho ofertas;No;NA;NA;No;No tengo ninguna discapacidad;0.2;No;No;No;No es un entorno machista;No tenemos sistema de gestión;No;NA;No sé;Las uso frecuentemente (varias veces al mes);NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
8;2023-10-01T21:04:52Z;Mujer cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios financieros seguros;251 - 500;Nacional;;Analista;Indeterminado;Full time;Analista Soft (Empleos, Comunicaciones Internas, Capacitación y Desarrollo);0;1;1;;510000;Híbrido/Mixto;Horarios flexibles, Abono de internet, Frutas y snacks, Gimnasio, Home office, Reintegros en capacitación;No recibo bono;3 o más ajustes;;No;No lo uso en mi trabajo actual.;3;Sí, activamente;No;NA;NA;No;No tengo ninguna discapacidad;0.4;Si;No;Si;Si, es muy machista;Búsquedas/Applicant Tracking System, Nómina, Sueldos, Capacitación;No;Plataforma de BI (por ej., Power BI, Qlik, etc.);Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.), People Analytics;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
9;2023-10-02T09:06:30Z;Hombre cis;31 - 35;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Agricultura, plantaciones, otros sectores rurales;101 - 250;Nacional;;Analista;Indeterminado;Full time;Generalista;0;1;1;;511000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Abono de celular, Asistencia Psicológica, Charter / Servicio de transporte, Combustible;Variable en función de los resultados de compañía;3 o más ajustes;;No;NA;4;No,  pero escucho ofertas;No;NA;NA;No;No tengo ninguna discapacidad;0.4;Si;No;No;No es un entorno machista;Nómina, Sueldos;No;Reportes Nativos del Sistema de Gestión;No sé;Las uso ocasionalmente (alguna vez en los últimos 3 meses);NA;Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.), People Analytics;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
10;2023-10-02T09:25:37Z;Mujer cis;18 - 25;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Monotributista;0;;Hibrido: casa y cowork;Si;Payoneer;No;No;Si;Si;No;No;Fijos;;Remuneración mensual del ingresante;No ofrezco garantía;40;Remuneración ofrecida por el cliente;NA;NA;NA;NA;
