genero;nivel_formacion;pais;rubro;dotacion;origen_capital;puesto;funcion_rh;anios_experiencia;tipo_contratacion;sueldo_bruto;satisfaccion;busqueda;tipo_cambio;multiplicador;sueldo_ft;sueldo_dolar;cuenta
Masculino;Universitario completo;Argentina;"Servicios financieros; seguros";110;Nacional;Gerente;Generalista;20;Full time;250000;5;No,  pero escucho ofertas;83.89;1;250000;2980.0929789009415;1
Femenino;Universitario completo;Argentina;Comercio;1433;Nacional;Analista;Administración de personal;7;Full time;55700;3;No,  pero escucho ofertas;83.89;1;55700;663.9647156991298;1
Masculino;Universitario en curso;Argentina;Otros;6000;Multinacional;HRBP;Relaciones laborales;8;Full time;55000;5;No,  pero escucho ofertas;83.89;1;55000;655.6204553582072;1
Femenino;Universitario en curso;Argentina;Tecnologías de Información, Sistemas, y afines;270;Nacional;Analista;Reclutamiento y selección;2;Full time;47000;3;No,  pero escucho ofertas;83.89;1;47000;560.2574800333771;1
Femenino;Secundario completo;Argentina;Hotelería, restauración, turismo;700;Nacional;Gerente;Generalista;10;Full time;86747;5;No estoy buscando cambiar;83.89;1;86747;1034.05650256288;1
Masculino;Universitario completo;Argentina;"Alimentación; bebidas; tabaco";7500;Multinacional;HRBP;Generalista;14;Full time;85500;2;Sí, activamente;83.89;1;85500;1019.191798784122;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;100;Nacional;Analista;Generalista;5;Full time;73600;3;Sí, activamente;83.89;1;73600;877.3393729884373;1
Femenino;Universitario completo;Argentina;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";22000;Nacional;Administrativo;Administración de personal;2;Part time;22000;3;Sí, activamente;83.89;1.5;33000;393.3722732149243;1
Masculino;Universitario completo;Argentina;"Medios de comunicación; cultura; gráficos";700;Multinacional;HRBP;Payroll / Liquidación de sueldos;5;Full time;80000;4;No,  pero escucho ofertas;83.89;1;80000;953.6297532483013;1
Femenino;Universitario en curso;Argentina;Tecnologías de Información, Sistemas, y afines;92;Nacional;Responsable;Generalista;4;Full time;98948;NA;NA;83.89;1;98948;1179.4969603051616;1
Femenino;Maestría completa;Argentina;Minería (carbón, otra minería);500;Multinacional;HRBP;Capacitación y desarrollo;12;Full time;85000;2;Sí, activamente;83.89;1;85000;1013.2316128263202;1
Masculino;Terciario completo;Argentina;"Textiles; vestido; cuero; calzado";197;Nacional;Analista;Administración de personal;10;Full time;60241;5;No estoy buscando cambiar;83.89;1;60241;718.0951245678865;1
Masculino;Universitario completo;Argentina;"Servicios financieros; seguros";150;Multinacional;Responsable;Compensaciones y beneficios;13;Full time;142000;2;No,  pero escucho ofertas;83.89;1;142000;1692.692812015735;1
Masculino;Universitario completo;Argentina;"Textiles; vestido; cuero; calzado";450;Nacional;HRBP;Generalista;9;Full time;65662;3;No,  pero escucho ofertas;83.89;1;65662;782.7154607223746;1
Masculino;Universitario en curso;Argentina;Función pública;520;Nacional;Director;Generalista;6;Full time;60000;2;Sí, activamente;83.89;1;60000;715.222314936226;1
Femenino;Universitario en curso;Argentina;Función pública;508;Nacional;Director;Administración de personal;3;Full time;15000;4;No,  pero escucho ofertas;83.89;1;15000;178.8055787340565;1
Masculino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;1600;Multinacional;Analista;Reclutamiento y selección;5;Full time;70000;5;No estoy buscando cambiar;83.89;1;70000;834.4260340922636;1
Femenino;Universitario completo;Argentina;Función pública;1400;Nacional;Director;Administración de personal;3;Full time;128000;3;No,  pero escucho ofertas;83.89;1;128000;1525.807605197282;1
Femenino;Maestría completa;Argentina;Servicios de consultoría;10;Nacional;Gerente;Diseño organizacional;10;Full time;150000;5;No estoy buscando cambiar;83.89;1;150000;1788.055787340565;1
Femenino;Universitario completo;Argentina;Hotelería, restauración, turismo;360;Nacional;Analista;Reclutamiento y selección;3;Full time;65000;4;Sí, activamente;83.89;1;65000;774.8241745142449;1
Femenino;Secundario completo;Argentina;Tecnologías de Información, Sistemas, y afines;300;Multinacional;Director;Reclutamiento y selección;14;Full time;288000;4;No,  pero escucho ofertas;83.89;1;288000;3433.0671116938847;1
Masculino;Universitario completo;Argentina;Función pública;100;Nacional;Responsable;Administración de personal;3;Full time;35000;4;No,  pero escucho ofertas;83.89;1;35000;417.2130170461318;1
Femenino;Terciario completo;Argentina;Otros;170;Multinacional;Analista;Administración de personal;12;Plazo Fijo;100000;NA;NA;83.89;1;100000;1192.0371915603766;1
Femenino;Universitario en curso;Argentina;Tecnologías de Información, Sistemas, y afines;180;Nacional;Analista;Capacitación y desarrollo;2;Full time;52000;4;No estoy buscando cambiar;83.89;1;52000;619.8593396113959;1
Femenino;Terciario completo;Argentina;Tecnologías de Información, Sistemas, y afines;52;Nacional;Responsable;Todo;3;Full time;98000;4;No,  pero escucho ofertas;83.89;1;98000;1168.1964477291692;1
Femenino;Universitario completo;Argentina;Hotelería, restauración, turismo;450;Nacional;Jefe;Generalista;12;Full time;73000;4;No,  pero escucho ofertas;83.89;1;73000;870.187149839075;1
