id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;jornada;funcion;personas_a_cargo;anios_empresa;anios_puesto;anios_rh;sueldo_bruto;modalidad;beneficios;bono;ajuste;ajuste_porcentaje;idioma_exigencia;idioma_situaciones;recomendacion;busqueda;comunidad;comunidades;consejo_empleados;diversidad_sexual;discapacidad;diversidad_management;contrata_senior;contrata_discapacidad;sufrio_acoso;machismo;procesos_erp;tienen_pa;herramientas_analisis;prioridad_pa;usa_genai;genai_casos;capacitacion_pa;moneda;codigo_iso;banco;tipo_cambio;fuente;multiplicador;sueldo_ft;sueldo_dolar;cuenta
1;2023-09-30T14:51:13Z;Mujer cis;36 - 40;Terciario completo;Profesorado idioma;No estudié en la Universidad;Argentina;Buenos Aires;Relación de Dependencia;Industria metalúrgica, metalmecánica;1 - 50;Nacional;1;Responsable;Indeterminado;Full time;Administración de personal;0;18;3;15;400000;Presencial 100%;No tengo beneficios adicionales;No recibo bono;3 o más ajustes;85;No;Emails;3;No estoy buscando cambiar;No;NA;NA;No;No tengo ninguna discapacidad;0.2;No;No;No;Si pero no es tanto;NA;NA;NA;NA;NA;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;400000;1087.1337718106213;1
2;2023-10-01T17:18:42Z;Mujer cis;41 - 45;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;501 - 1.000;Nacional;15;Jefe;Indeterminado;Full time;Capacitación y desarrollo;3;20;3;17;1500000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Comedor / Almuerzos, Home office;Variable en función de los resultados de compañía;3 o más ajustes;80;No;Emails;3;No,  pero escucho ofertas;Si;NA;NA;No;No tengo ninguna discapacidad;0.3;Si;No;No;Si pero no es tanto;Nómina, Sueldos;No;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.), Excel;Se mantuvo estable;No las usé nunca;NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.), Inteligencia Artificial;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;1500000;4076.75164428983;1
3;2023-10-01T17:29:13Z;Mujer cis;36 - 40;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Petróleo y producción de gas, refinación de petróleo;51 - 100;Nacional;3;Jefe;Indeterminado;Full time;Generalista;5;1;5;12;1700000;Presencial 100%;Medicina prepaga / Plan de salud;No recibo bono;3 o más ajustes;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;1700000;4620.318530195141;1
4;2023-10-01T17:35:14Z;Hombre cis;36 - 40;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Otros;101 - 250;Nacional;3;Analista;Indeterminado;Full time;Generalista;0;2;2;9;590400;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Licencias extendidas, Abono de celular, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Préstamos;No recibo bono;3 o más ajustes;87;No;NA;2;No estoy buscando cambiar;No;NA;NA;No;No tengo ninguna discapacidad;0.2;No;No;No;Si pero no es tanto;No tenemos sistema de gestión;No;Excel;Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;590400;1604.609447192477;1
5;2023-10-01T17:39:51Z;Mujer cis;26 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios públicos (agua, gas, electricidad);101 - 250;Nacional;3;Analista;Indeterminado;Full time;Generalista;0;0;0;7;581080;Híbrido/Mixto;Home office;No recibo bono;1 solo;0;No;NA;2;No,  pero escucho ofertas;No;NA;Que desarrolle la tolerancia a la frustración;No;No tengo ninguna discapacidad;0.2;Si;No;No;Si, es muy machista;Sueldos;No;Excel;No sé;No las usé nunca;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;581080;1579.2792303092895;1
6;2023-10-01T18:30:14Z;Hombre cis;18 - 25;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Industrias químicas;501 - 1.000;Nacional;6;Pasante;Pasante;Part time;Generalista;0;0;0;0;187000;Presencial 100%;Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Charter / Servicio de transporte, Home office, Préstamos;No recibo bono;3 o más ajustes;13;No;Entrevistas;4;No,  pero escucho ofertas;Si;SalesEra;Que lo haga con pasión;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;187000;508.2350383214655;1
7;2023-10-01T20:34:23Z;Mujer cis;26 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Comercio;51 - 100;Nacional;1;Responsable;Indeterminado;Full time;Generalista;0;0;0;7;530000;Presencial 100%;Medicina prepaga / Plan de salud, Frutas y snacks;No recibo bono;3 o más ajustes;35;No;NA;3;No,  pero escucho ofertas;No;NA;NA;No;No tengo ninguna discapacidad;0.2;No;No;No;No es un entorno machista;No tenemos sistema de gestión;No;NA;No sé;Las uso frecuentemente (varias veces al mes);NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;530000;1440.4522476490731;1
8;2023-10-01T21:04:52Z;Mujer cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios financieros seguros;251 - 500;Nacional;4;Analista;Indeterminado;Full time;Analista Soft (Empleos, Comunicaciones Internas, Capacitación y Desarrollo);0;1;1;5;510000;Híbrido/Mixto;Horarios flexibles, Abono de internet, Frutas y snacks, Gimnasio, Home office, Reintegros en capacitación;No recibo bono;3 o más ajustes;97;No;No lo uso en mi trabajo actual.;3;Sí, activamente;No;NA;NA;No;No tengo ninguna discapacidad;0.4;Si;No;Si;Si, es muy machista;Búsquedas/Applicant Tracking System, Nómina, Sueldos, Capacitación;No;Plataforma de BI (por ej., Power BI, Qlik, etc.);Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.), People Analytics;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;510000;1386.0955590585422;1
9;2023-10-02T09:06:30Z;Hombre cis;31 - 35;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Agricultura, plantaciones, otros sectores rurales;101 - 250;Nacional;5;Analista;Indeterminado;Full time;Generalista;0;1;1;9;511000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Abono de celular, Asistencia Psicológica, Charter / Servicio de transporte, Combustible;Variable en función de los resultados de compañía;3 o más ajustes;60;No;NA;4;No,  pero escucho ofertas;No;NA;NA;No;No tengo ninguna discapacidad;0.4;Si;No;No;No es un entorno machista;Nómina, Sueldos;No;Reportes Nativos del Sistema de Gestión;No sé;Las uso ocasionalmente (alguna vez en los últimos 3 meses);NA;Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.), People Analytics;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;511000;1388.8133934880686;1
11;2023-10-02T09:41:11Z;Mujer cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;1 - 50;Nacional;1;Responsable;Indeterminado;Full time;Generalista;0;1;11;16;600000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Vacaciones extendidas, Abono de celular, Frutas y snacks, Home office, Idiomas;Variable en función de los resultados de compañía;3 o más ajustes;60;Si;Documentación;5;No,  pero escucho ofertas;Si;ADRHA;NA;No;No tengo ninguna discapacidad;0;No;No;No;Si pero no es tanto;Nómina, Sueldos, Gestión del Desempeño;No;Excel;Ha decrecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);la use para tener alternativas de redaccion a alguna comunicación interna;people experience;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;600000;1630.700657715932;1
